Группа;День недели;Дата;Время;Дисциплина;Вид нагрузки кафедры;Преподаватель;Аудитория
ПСИ-Б-04-Д-2023-1;Вт;03.12.2024;18.50 - 20.20;Психология личности;Практическое занятие;Станкевич Татьяна Ивановна;212
СРБ-Б-04-Д-2023-1;Вт;03.12.2024;13.50 - 15.20;Практическая социология;Лекция;Сретенский Никита Сергеевич;316
СРБ-Б-04-Д-2023-1;Вт;03.12.2024;15.30 - 17.00;Этические основы социальной работы;Лекция;Игнатовец Людмила Михайловна;316
СРБ-Б-04-Д-2023-1;Вт;03.12.2024;17.10 - 18.40;Методика исследований в социальной работе;Лекция;Ворошилина Наталья Николаевна;316
СРБ-Б-04-Д-2023-1;Вт;03.12.2024;18.50 - 20.20;Методика исследований в социальной работе;Лекция;Ворошилина Наталья Николаевна;316
СРБ-Б-04-Д-2023-1;Вт;03.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
ЮСТ-Б-2-Д-2023-1;Вт;03.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ЮСТ-Б-2-Д-2023-1;Вт;03.12.2024;15.30 - 17.00;Административное право;Лекция;Климченя Вячеслав Сергеевич;312
ЮСТ-Б-2-Д-2023-1;Вт;03.12.2024;17.10 - 18.40;Административное право;Лекция;Климченя Вячеслав Сергеевич;219
ЮСТ-Б-2-Д-2023-1;Вт;03.12.2024;18.50 - 20.20;Международное право;Лекция;Бочарова Ольга Станиславовна;315
ЮСТ-Б-2-Д-2023-1;Вт;03.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
ПСИ-Б-04-В-2023-1;Вт;03.12.2024;18.50 - 20.20;Основы киберпсихологии;Лекция;Сутович Елена Иосифовна;154
ПСИ-Б-04-В-2023-1;Вт;03.12.2024;20.30 - 22.00;Основы киберпсихологии;Лекция;Сутович Елена Иосифовна;154
ПСИ-М-9-В-2023-1;Вт;03.12.2024;18.50 - 20.20;Психологическое сопровождение и психологическое консультирование лиц, попавших в трудную жизненную ситуацию;Практическое занятие;Ковальчишина Наталья Ивановна;205
ПСИ-М-9-В-2023-1;Вт;03.12.2024;20.30 - 22.00;Психологическое сопровождение и психологическое консультирование лиц, попавших в трудную жизненную ситуацию;Практическое занятие;Ковальчишина Наталья Ивановна;205
МЕН-Б-3-Д-2024-1;Вт;03.12.2024;12.10 - 13.40;Информатика и основы информационно-коммуникационных технологий (1 подгруппа);Лабораторная работа;Куган Светлана Фёдоровна;212
МЕН-Б-3-Д-2024-1;Вт;03.12.2024;13.50 - 15.20;Традиционные ценности: основа российского общества;Лекция;Саболевский Илья Русланович;315
МЕН-Б-3-Д-2024-1;Вт;03.12.2024;15.30 - 17.00;Безопасность жизнедеятельности;Практическое занятие;Шлимаков Максим Сергеевич;315
МЕН-Б-3-Д-2024-1;Вт;03.12.2024;17.10 - 18.40;Цифровые трансформации в управлении и экономике;Лекция;Тарасевич Вадим Львович;315
МЕН-Б-3-Д-2024-1;Вт;03.12.2024;18.50 - 20.20;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
