Группа;День недели;Дата;Время;Дисциплина;Вид нагрузки кафедры;Преподаватель;Аудитория
СРБ-Б-04-Д-2023-1;Сб;07.12.2024;17.10 - 18.40;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ЮСТ-Б-2-Д-2023-1;Сб;07.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
ЮСТ-Б-2-Д-2023-1;Сб;07.12.2024;10.10 - 11.40;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
МЕН-М-5-Д-2023-1;Сб;07.12.2024;12.10 - 13.40;Реинжиниринг бизнес-процессов;Практическое занятие;Стрижевич Александра Сергеевна;310
МЕН-М-5-Д-2023-1;Сб;07.12.2024;13.50 - 15.20;Психология рекламы;Практическое занятие;Азарёнок Наталья Валерьевна;202
МЕН-М-5-Д-2023-1;Сб;07.12.2024;15.30 - 17.00;Технологии проектного управления;Практическое занятие;Корнелюк Наталья Николаевна;202
ПСИ-Б-04-В-2023-1;Сб;07.12.2024;08.30 - 10.00;Психология личности;Практическое занятие;Станкевич Татьяна Ивановна;154
ПСИ-Б-04-В-2023-1;Сб;07.12.2024;10.10 - 11.40;Психология личности;Практическое занятие;Станкевич Татьяна Ивановна;154
ПСИ-Б-04-В-2023-1;Сб;07.12.2024;12.10 - 13.40;Психология безопасности;Практическое занятие;Шингель Александр Леонидович;154
ПСИ-Б-04-В-2023-1;Сб;07.12.2024;13.50 - 15.20;Психология безопасности;Практическое занятие;Шингель Александр Леонидович;154
ПСИ-М-9-В-2023-1;Сб;07.12.2024;08.30 - 10.00;Социально-психологическая практика работы с семьей;Практическое занятие;Азарёнок Наталья Валерьевна;205
ПСИ-М-9-В-2023-1;Сб;07.12.2024;10.10 - 11.40;Социально-психологическая практика работы с семьей;Практическое занятие;Азарёнок Наталья Валерьевна;205
ПСИ-М-9-В-2023-1;Сб;07.12.2024;12.10 - 13.40;Практика психологического консультирования;Практическое занятие;Щерба Татьяна Александровна;205
ПСИ-М-9-В-2023-1;Сб;07.12.2024;13.50 - 15.20;Практика психологического консультирования;Практическое занятие;Щерба Татьяна Александровна;205
МЕН-Б-3-Д-2024-2;Сб;07.12.2024;08.30 - 10.00;Цифровые трансформации в управлении и экономике;Практическое занятие;Тарасевич Вадим Львович;203
МЕН-Б-3-Д-2024-2;Сб;07.12.2024;10.10 - 11.40;Цифровые трансформации в управлении и экономике;Практическое занятие;Тарасевич Вадим Львович;203
СРБ-Б-04-Д-2024-1;Сб;07.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
СРБ-Б-04-Д-2024-1;Сб;07.12.2024;10.10 - 11.40;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ЮСТ-Б-2-Д-2024-1;Сб;07.12.2024;08.30 - 10.00;Логика;Практическое занятие;Шаврук Елена Юрьевна;104
ЮСТ-Б-2-Д-2024-1;Сб;07.12.2024;10.10 - 11.40;Логика;Практическое занятие;Шаврук Елена Юрьевна;104
ЮСТ-Б-2-Д-2024-2;Сб;07.12.2024;10.10 - 11.40;Экономика;Практическое занятие;Корнелюк Наталья Николаевна;221
ЮСТ-Б-2-Д-2024-2;Сб;07.12.2024;12.10 - 13.40;Логика;Практическое занятие;Шаврук Елена Юрьевна;221
ЮСТ-Б-2-Д-2024-2;Сб;07.12.2024;13.50 - 15.20;Логика;Практическое занятие;Шаврук Елена Юрьевна;221
МЕН-М-5-Д-2024-1;Сб;07.12.2024;08.30 - 10.00;Введение в маркетинг;Практическое занятие;Стрижевич Александра Сергеевна;202
МЕН-М-5-Д-2024-1;Сб;07.12.2024;10.10 - 11.40;Введение в маркетинг;Практическое занятие;Стрижевич Александра Сергеевна;202
